No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
2200 < 2300,SRV,2,1,0,0,3,0,0,0,0,0,0,6
2200 < 2300,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
2300 < 2400,Mira,97,12,0,0,38,0,0,0,0,0,0,147
2300 < 2400,OSARG,0,215,0,0,28,0,0,0,0,0,0,243
2300 < 2400,RRab,0,0,1,0,0,0,0,0,0,1,0,2
2300 < 2400,RRc,0,0,0,4,0,0,0,0,0,0,0,4
2300 < 2400,SRV,8,110,0,0,144,0,0,0,0,0,0,262
2300 < 2400,clasCep,0,0,0,0,1,0,0,0,0,2,0,3
2300 < 2400,detachedBinary,0,0,0,0,0,0,0,2,1,0,0,3
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,12,0,0,2,0,0,0,0,0,0,14
2400 < 2500,RRab,0,0,1,0,0,0,0,0,0,0,0,1
2400 < 2500,RRc,0,0,0,6,0,0,0,0,0,3,0,9
2400 < 2500,SRV,0,1,0,0,5,0,0,0,0,0,0,6
2400 < 2500,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,1
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,11,0,1,2,0,0,0,0,0,0,14
2500 < 2600,RRab,0,0,2,0,0,0,0,0,0,0,0,2
2500 < 2600,RRc,0,0,0,11,0,0,0,0,0,0,0,11
2500 < 2600,SRV,0,1,0,0,9,0,0,0,0,0,0,10
2500 < 2600,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
2500 < 2600,detachedBinary,0,0,0,0,0,0,0,1,3,0,0,4
2600 < 2700,Mira,24,0,0,0,0,0,0,0,0,0,0,24
2600 < 2700,OSARG,0,42,0,0,4,0,0,0,0,0,0,46
2600 < 2700,RRc,0,0,0,2,0,0,0,0,0,0,0,2
2600 < 2700,SRV,0,4,0,0,23,0,0,0,0,0,0,27
2600 < 2700,contactBinary,0,0,2,0,0,0,0,1,1,0,0,4
2600 < 2700,detachedBinary,0,0,0,0,0,0,0,1,2,1,0,4
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,330,0,0,0,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,499,0,0,69,0,0,0,0,0,0,568
2700 < 2800,RRab,0,0,2,0,0,0,0,0,0,0,0,2
2700 < 2800,RRc,0,0,0,4,0,0,0,0,0,0,0,4
2700 < 2800,SRV,10,30,0,0,388,0,0,0,0,0,1,429
2700 < 2800,contactBinary,0,0,0,0,0,0,0,2,0,0,0,2
2700 < 2800,detachedBinary,0,0,0,0,0,0,0,2,1,0,0,3
2800 < 2900,Mira,15,0,0,0,0,0,0,0,0,0,0,15
2800 < 2900,OSARG,0,14,0,0,3,0,0,0,0,0,0,17
2800 < 2900,RRab,0,0,3,0,0,0,0,0,0,0,0,3
2800 < 2900,RRc,0,0,0,2,0,0,0,0,0,0,0,2
2800 < 2900,SRV,0,0,0,0,12,0,0,0,0,0,0,12
2800 < 2900,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,1
2900 < 3000,Mira,15,0,0,0,0,0,0,0,0,0,0,15
2900 < 3000,OSARG,0,62,0,0,5,0,0,0,0,0,0,67
2900 < 3000,RRab,0,1,0,0,0,0,0,0,0,0,0,1
2900 < 3000,RRc,0,0,0,1,0,0,0,0,0,0,0,1
2900 < 3000,SRV,0,4,0,0,38,0,0,0,0,0,0,42
2900 < 3000,detachedBinary,0,0,0,1,0,0,0,0,0,0,0,1
2900 < 3000,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
300 < 400,Mira,2867,0,4,0,1,20,2,19,12,69,7,3001
300 < 400,OSARG,0,1700,0,0,236,0,2,1,2,1,1,1943
300 < 400,RRab,0,0,449,79,0,11,5,11,0,27,0,582
300 < 400,RRc,0,0,21,489,0,0,9,9,0,4,0,532
300 < 400,SRV,121,115,16,3,2042,116,47,346,238,544,115,3703
300 < 400,clasCep,0,0,9,3,0,624,48,8,2,8,0,702
300 < 400,clasOvertoneCep,0,0,0,11,0,15,335,2,0,0,0,363
300 < 400,contactBinary,0,0,2,7,0,1,0,1687,102,12,0,1811
300 < 400,detachedBinary,0,8,0,3,11,0,0,616,1068,3,1,1710
300 < 400,t2Cep,0,0,14,2,0,25,0,16,5,469,3,534
300 < 400,t2RVTau,0,0,0,0,0,0,0,0,0,3,96,99
3000 < 3100,RRab,0,0,4,1,0,0,0,0,0,0,0,5
3000 < 3100,contactBinary,0,0,1,1,0,0,0,4,0,1,0,7
3000 < 3100,detachedBinary,0,0,0,1,0,0,0,1,1,0,0,3
3100 < 3200,RRab,0,0,5,0,0,0,0,0,0,1,0,6
3100 < 3200,RRc,0,0,0,2,0,0,0,0,0,0,0,2
3100 < 3200,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
3200 < 3300,RRab,0,0,1,0,0,0,0,0,0,0,0,1
3200 < 3300,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3200 < 3300,detachedBinary,0,0,1,1,0,0,0,0,2,0,0,4
3300 < 3400,RRab,0,0,2,0,0,0,0,0,0,0,0,2
3300 < 3400,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3300 < 3400,contactBinary,0,0,0,0,0,0,0,2,0,0,0,2
3300 < 3400,detachedBinary,0,0,1,0,0,0,0,1,3,0,0,5
3300 < 3400,t2RVTau,0,0,0,0,1,0,0,0,0,0,2,3
3400 < 3500,RRab,0,0,5,0,0,0,0,0,0,0,0,5
3400 < 3500,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3400 < 3500,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,1
3500 < 3600,RRab,0,0,3,2,0,0,0,0,0,0,0,5
3500 < 3600,RRc,0,0,0,2,0,0,0,0,0,0,0,2
3500 < 3600,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
3500 < 3600,detachedBinary,0,0,0,0,0,0,0,1,1,0,0,2
3500 < 3600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
3600 < 3700,RRab,0,0,3,0,0,0,0,0,0,0,0,3
3600 < 3700,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3600 < 3700,contactBinary,0,0,0,0,0,0,0,2,0,0,0,2
3600 < 3700,detachedBinary,0,0,0,0,0,0,0,1,1,1,0,3
3600 < 3700,t2Cep,0,0,0,0,0,0,0,0,0,6,0,6
3700 < 3800,RRab,0,0,3,0,0,0,0,0,0,0,0,3
3700 < 3800,RRc,0,0,0,9,0,0,0,0,0,0,0,9
3700 < 3800,contactBinary,0,0,2,0,0,0,0,2,1,0,0,5
3700 < 3800,detachedBinary,0,0,0,0,0,0,0,1,3,1,0,5
3800 < 3900,RRab,0,0,1,0,0,0,0,1,0,0,0,2
3800 < 3900,RRc,0,0,2,7,0,0,0,0,0,0,0,9
3800 < 3900,contactBinary,0,0,1,0,0,0,0,3,1,0,0,5
3800 < 3900,detachedBinary,0,0,0,0,0,0,0,0,3,0,0,3
3900 < 4000,RRab,0,0,3,0,0,0,0,0,0,0,0,3
3900 < 4000,RRc,0,0,1,4,0,0,0,0,0,0,0,5
3900 < 4000,contactBinary,0,0,0,0,0,0,0,4,2,0,0,6
3900 < 4000,detachedBinary,0,0,0,0,0,0,0,1,5,1,0,7
400 < 500,Mira,896,0,8,0,3,6,0,11,3,32,7,966
400 < 500,OSARG,0,220,0,0,38,0,0,1,3,1,2,265
400 < 500,RRab,0,1,739,164,0,5,1,3,0,35,0,948
400 < 500,RRc,0,0,27,980,0,0,3,5,0,6,0,1021
