No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
2800 < 2900,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
2800 < 2900,SRV,0,3,0,0,7,0,0,0,0,0,0,0,10
2800 < 2900,detachedBinary,0,0,1,1,0,0,0,0,1,0,0,0,3
2900 < 3000,Mira,15,0,0,0,0,0,0,0,0,0,0,0,15
2900 < 3000,OSARG,0,70,0,0,5,0,0,0,0,0,0,0,75
2900 < 3000,RRab,0,0,3,1,0,0,0,0,0,0,1,0,5
2900 < 3000,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
2900 < 3000,SRV,0,8,0,0,33,0,0,0,0,0,0,0,41
2900 < 3000,detachedBinary,0,0,1,0,0,0,0,0,2,0,0,0,3
2900 < 3000,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
300 < 400,Mira,1279,0,0,0,2,0,0,0,0,0,0,0,1281
300 < 400,OSARG,0,1792,0,0,197,1,2,1,0,0,1,0,1994
300 < 400,RRab,0,0,470,56,0,12,3,7,2,1,43,3,597
300 < 400,RRc,0,0,22,498,0,0,7,4,3,1,10,0,545
300 < 400,SRV,27,136,2,0,1996,0,1,0,0,1,0,0,2163
300 < 400,clasCep,0,0,4,2,0,189,4,0,0,0,2,0,201
300 < 400,clasOvertoneCep,0,0,0,3,0,0,184,0,0,0,2,0,189
300 < 400,contactBinary,0,0,3,5,0,7,0,1627,211,1,18,0,1872
300 < 400,detachedBinary,2,10,1,6,3,0,1,467,1276,3,4,0,1773
300 < 400,dsct,2,0,0,0,0,0,0,0,0,205,0,0,207
300 < 400,t2Cep,0,0,2,1,0,0,0,0,0,0,129,0,132
300 < 400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,33,33
3000 < 3100,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
3000 < 3100,contactBinary,0,0,0,0,0,0,0,1,2,0,1,0,4
3000 < 3100,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
3100 < 3200,RRab,0,0,7,1,0,0,0,0,0,0,0,0,8
